rosbagTimestamp,message
1534428920806652407,"""G28"""
1534428922014790919,"""G1 F5000.0"""
1534428922023027694,"""M107 P0"""
1534428922031142152,"""G4 P1000"""
1534428923039188163,"""M114"""
1534428923054348313,"""G1 X500.0 Y140 Z200.0"""
1534428923067248565,"""M114"""
1534428929944963461,"""M107 P0"""
1534428929952196640,"""G4 P550"""
1534428930510605410,"""G1 X500.0 Y140 Z0.0"""
1534428930522592535,"""M114"""
1534428933013032799,"""M106 P0"""
1534428933019754834,"""G4 P3000"""
1534428936028359181,"""G1 X500.0 Y140 Z200.0"""
1534428936040064281,"""M114"""
1534428938533918500,"""M107 P0"""
1534428938542677602,"""G4 P4000"""
1534428942555781259,"""G1 F5000.0"""
1534428942564515134,"""M107 P0"""
1534428942573188764,"""G4 P1000"""
1534428943581301114,"""M114"""
1534428943595401343,"""G1 X500.0 Y140 Z200.0"""
1534428943604661643,"""M114"""
1534428943620516916,"""M107 P0"""
1534428943629920233,"""G4 P550"""
1534428944187782253,"""G1 X500.0 Y140 Z0.0"""
1534428944198632810,"""M114"""
1534428946689792942,"""M106 P0"""
1534428946697915628,"""G4 P3000"""
1534428949705437145,"""G1 X500.0 Y140 Z200.0"""
1534428949717219080,"""M114"""
1534428952211241982,"""M107 P0"""
1534428952219186745,"""G4 P4000"""
